category,scope,region,target,lead_months,model,calibration,n_test_months,bs_reference,bs_model,bss_vs_climatology,bss_ci_low,bss_ci_high,roc_auc_dry,hss,delta_bss,claim_status,headline,notes,source_file
central_valley_model_suite_raw,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,SPI-1 threshold baseline,raw_or_model_default,63,0.0643,0.096,-0.4937,-1.3286,0.0306,0.5091,0.0833,,not_distinguishable_from_climatology,False,Monthly-level score; pixel metrics are secondary.,outputs/forecast_skill_bss_hss_table.csv
central_valley_model_suite_raw,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,XGBoost (no spatial),raw_or_model_default,63,0.0643,0.0817,-0.2715,-0.9811,0.0893,0.6818,0.0789,,not_distinguishable_from_climatology,False,Monthly-level score; pixel metrics are secondary.,outputs/forecast_skill_bss_hss_table.csv
central_valley_model_suite_raw,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,XGBoost-Spatial,raw_or_model_default,63,0.0643,0.0717,-0.1154,-0.7693,0.2234,0.7432,0.0392,,not_distinguishable_from_climatology,True,Monthly-level score; pixel metrics are secondary.,outputs/forecast_skill_bss_hss_table.csv
central_valley_seasonal_target,seasonal_spi3_lead3,California Central Valley,SPI-3 dry fraction,3,Seasonal SPI-3 lead-3 persistence_spi3,persistence_spi3,59,0.08764639097130043,0.15797840110374425,-0.8024518677041002,-1.6720128089273756,-0.3380466858292084,,,,robust_negative,False,Leakage-safe seasonal target with lead >= SPI accumulation window.,outputs/seasonal_spi3_lead3_monthly_scores.csv
central_valley_seasonal_target,seasonal_spi3_lead3,California Central Valley,SPI-3 dry fraction,3,Seasonal SPI-3 lead-3 xgb_isotonic,xgb_isotonic,59,0.08764639097130043,0.08448736234323197,0.036042883147383464,-0.12696446954341822,0.13957519178565275,,,,positive_uncertain,True,Leakage-safe seasonal target with lead >= SPI accumulation window.,outputs/seasonal_spi3_lead3_monthly_scores.csv
central_valley_seasonal_target,seasonal_spi3_lead3,California Central Valley,SPI-3 dry fraction,3,Seasonal SPI-3 lead-3 xgb_raw,xgb_raw,59,0.08764639097130043,0.10941793641836857,-0.24840207572491102,-0.9279096186494118,0.09196872817248948,,,,not_distinguishable_from_climatology,False,Leakage-safe seasonal target with lead >= SPI accumulation window.,outputs/seasonal_spi3_lead3_monthly_scores.csv
central_valley_seasonal_target,seasonal_spi3_lead6,California Central Valley,SPI-3 dry fraction,6,Seasonal SPI-3 lead-6 persistence_spi3,persistence_spi3,62,0.08421154839669028,0.18242926159383566,-1.1663211883300981,-2.7150218138695936,-0.39437233544165823,,,,robust_negative,False,Leakage-safe seasonal target with lead >= SPI accumulation window.,outputs/seasonal_spi3_lead6_monthly_scores.csv
central_valley_seasonal_target,seasonal_spi3_lead6,California Central Valley,SPI-3 dry fraction,6,Seasonal SPI-3 lead-6 xgb_isotonic,xgb_isotonic,62,0.08421154839669028,0.09329158719373742,-0.10782415203048346,-0.3321384930026321,0.057628462931118445,,,,not_distinguishable_from_climatology,True,Leakage-safe seasonal target with lead >= SPI accumulation window.,outputs/seasonal_spi3_lead6_monthly_scores.csv
central_valley_seasonal_target,seasonal_spi3_lead6,California Central Valley,SPI-3 dry fraction,6,Seasonal SPI-3 lead-6 xgb_raw,xgb_raw,62,0.08421154839669028,0.13238193973336249,-0.5720164544387529,-1.370549396094385,-0.10463666338164199,,,,robust_negative,False,Leakage-safe seasonal target with lead >= SPI accumulation window.,outputs/seasonal_spi3_lead6_monthly_scores.csv
central_valley_seasonal_target,seasonal_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,Seasonal SPI-6 lead-6 persistence_spi6,persistence_spi6,62,0.1269486677442054,0.24744622026443555,-0.9491832774726403,-2.0119564438207953,-0.32599487065090016,,,,robust_negative,False,Leakage-safe seasonal target with lead >= SPI accumulation window.,outputs/seasonal_spi6_lead6_monthly_scores.csv
central_valley_seasonal_target,seasonal_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,Seasonal SPI-6 lead-6 xgb_isotonic,xgb_isotonic,62,0.1269486677442054,0.14092420943824013,-0.11008813201722356,-0.3495045855132963,0.03115783933692665,,,,not_distinguishable_from_climatology,True,Leakage-safe seasonal target with lead >= SPI accumulation window.,outputs/seasonal_spi6_lead6_monthly_scores.csv
central_valley_seasonal_target,seasonal_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,Seasonal SPI-6 lead-6 xgb_raw,xgb_raw,62,0.1269486677442054,0.15127135647911386,-0.1915946749745916,-0.6736037226023033,0.07280746255045256,,,,not_distinguishable_from_climatology,False,Leakage-safe seasonal target with lead >= SPI accumulation window.,outputs/seasonal_spi6_lead6_monthly_scores.csv
central_valley_uncertainty,canonical_spi1_lead1_edl,California Central Valley,SPI-1 dry fraction,1,EDL MLP isotonic,isotonic,63,0.06427839150335463,0.07174914859356982,-0.11622501614442693,-0.21257280428582928,-0.05842734352481735,,,,robust_negative,False,"Dirichlet EDL uncertainty; selected monthly uncertainty Spearman corr(abs error): total=0.028, epistemic=0.117.",outputs/edl_uncertainty_monthly.csv
central_valley_uncertainty,canonical_spi1_lead1_edl,California Central Valley,SPI-1 dry fraction,1,EDL MLP platt,platt,63,0.06427839150335463,0.07214243064183613,-0.12234343384387714,-0.21212773702755286,-0.05965929136716177,,,,robust_negative,False,"Dirichlet EDL uncertainty; selected monthly uncertainty Spearman corr(abs error): total=0.028, epistemic=0.117.",outputs/edl_uncertainty_monthly.csv
central_valley_uncertainty,canonical_spi1_lead1_edl,California Central Valley,SPI-1 dry fraction,1,EDL MLP raw,raw,63,0.06427839150335463,0.09148286922995108,-0.4232289746263591,-1.4279266598406732,-0.048189248564572934,,,,robust_negative,False,"Dirichlet EDL uncertainty; selected monthly uncertainty Spearman corr(abs error): total=0.028, epistemic=0.117.",outputs/edl_uncertainty_monthly.csv
central_valley_uncertainty,canonical_spi1_lead1_edl,California Central Valley,SPI-1 dry fraction,1,EDL MLP selected,selected,63,0.06427839150335463,0.07174914859356982,-0.11622501614442693,-0.20737355590795978,-0.05920143351907585,,,,robust_negative,True,"Dirichlet EDL uncertainty; selected monthly uncertainty Spearman corr(abs error): total=0.028, epistemic=0.117.",outputs/edl_uncertainty_monthly.csv
feature_ablation,canonical_spi1_lead1_xgb_raw,California Central Valley,SPI-1 dry fraction,1,XGBoost ablation: all_features,raw,63,,,-0.2715460787970962,,,,,0.0,negative_no_ci,True,Ablated features: ,outputs/feature_ablation_results.csv
feature_ablation,canonical_spi1_lead1_xgb_raw,California Central Valley,SPI-1 dry fraction,1,XGBoost ablation: enso,raw,63,,,-0.14477,,,,,0.12678,negative_no_ci,True,"Ablated features: nino34_lag1, nino34_lag2",outputs/feature_ablation_results.csv
feature_ablation,canonical_spi1_lead1_xgb_raw,California Central Valley,SPI-1 dry fraction,1,XGBoost ablation: pr_lags,raw,63,,,-0.45518,,,,,-0.18363,negative_no_ci,True,"Ablated features: pr_lag1, pr_lag2, pr_lag3",outputs/feature_ablation_results.csv
feature_ablation,canonical_spi1_lead1_xgb_raw,California Central Valley,SPI-1 dry fraction,1,XGBoost ablation: seasonality,raw,63,,,-0.46323,,,,,-0.19168,negative_no_ci,True,"Ablated features: month_sin, month_cos",outputs/feature_ablation_results.csv
