target_time,y_true_dry_frac,pred_prob_dry,clim_prob_dry,n_pixels,scenario,selected_calibration
1996-09-01,0.050445103857566766,0.041796703,0.05656632088726794,1011,random_spi1_rows,isotonic
1996-10-01,0.004916420845624385,0.0028479171,0.19524203112085384,1017,random_spi1_rows,isotonic
1996-11-01,0.010689990281827016,0.0063867643,0.167907539953722,1029,random_spi1_rows,isotonic
1996-12-01,0.0,6.527681e-05,0.14229303402516438,1013,random_spi1_rows,isotonic
1997-01-01,0.0,5.8974783e-05,0.18099466182576343,988,random_spi1_rows,isotonic
1997-02-01,0.6494845360824743,0.70158863,0.19317394731185364,1067,random_spi1_rows,isotonic
1997-03-01,0.5728444003964321,0.61027473,0.18959800953265984,1009,random_spi1_rows,isotonic
1997-04-01,0.3946869070208729,0.42619616,0.20948455894583157,1054,random_spi1_rows,isotonic
1997-05-01,0.24077490774907748,0.25014317,0.17964827989774862,1084,random_spi1_rows,isotonic
1997-06-01,0.01365546218487395,0.00045517666,0.10655945256578907,952,random_spi1_rows,isotonic
1997-07-01,0.0,0.00010333046,0.009249053529496334,1042,random_spi1_rows,isotonic
1997-08-01,0.055226824457593686,0.040791966,0.05130344984930175,1014,random_spi1_rows,isotonic
1997-09-01,0.019120458891013385,0.0065558637,0.05656632088726794,1046,random_spi1_rows,isotonic
1997-10-01,0.18553758325404376,0.17644237,0.19524203112085384,1051,random_spi1_rows,isotonic
1997-11-01,0.0,5.3756667e-05,0.167907539953722,1049,random_spi1_rows,isotonic
1997-12-01,0.0,7.918117e-07,0.14229303402516438,1015,random_spi1_rows,isotonic
1998-01-01,0.0,1.213698e-05,0.18099466182576343,1031,random_spi1_rows,isotonic
1998-02-01,0.0,0.0,0.19317394731185364,993,random_spi1_rows,isotonic
1998-03-01,0.0029411764705882353,0.00020437271,0.18959800953265984,1020,random_spi1_rows,isotonic
1998-04-01,0.06268958543983821,0.041364744,0.20948455894583157,989,random_spi1_rows,isotonic
1998-05-01,0.02040816326530612,0.0048999246,0.17964827989774862,980,random_spi1_rows,isotonic
1998-06-01,0.021505376344086023,0.0067362688,0.10655945256578907,1023,random_spi1_rows,isotonic
1998-07-01,0.0,0.00018068966,0.009249053529496334,1025,random_spi1_rows,isotonic
1998-08-01,0.05680705190989226,0.04417929,0.05130344984930175,1021,random_spi1_rows,isotonic
1998-09-01,0.01026694045174538,0.0032027545,0.05656632088726794,974,random_spi1_rows,isotonic
1998-10-01,0.04861111111111111,0.0350401,0.19524203112085384,1008,random_spi1_rows,isotonic
1998-11-01,0.006986027944111776,0.0022833787,0.167907539953722,1002,random_spi1_rows,isotonic
1998-12-01,0.4266009852216749,0.46164012,0.14229303402516438,1015,random_spi1_rows,isotonic
1999-01-01,0.000984251968503937,0.00027764135,0.18099466182576343,1016,random_spi1_rows,isotonic
1999-02-01,0.0,2.6576872e-05,0.19317394731185364,1004,random_spi1_rows,isotonic
1999-03-01,0.046370967741935484,0.04240073,0.18959800953265984,992,random_spi1_rows,isotonic
1999-04-01,0.21021611001964635,0.18505614,0.20948455894583157,1018,random_spi1_rows,isotonic
1999-05-01,0.23847695390781562,0.21127073,0.17964827989774862,998,random_spi1_rows,isotonic
1999-06-01,0.08206686930091185,0.06802766,0.10655945256578905,987,random_spi1_rows,isotonic
1999-07-01,0.0037735849056603774,0.0012441578,0.009249053529496334,1060,random_spi1_rows,isotonic
1999-08-01,0.0019474196689386564,0.000691619,0.05130344984930175,1027,random_spi1_rows,isotonic
1999-09-01,0.10439024390243902,0.083785206,0.05656632088726794,1025,random_spi1_rows,isotonic
1999-10-01,0.21539961013645223,0.20870851,0.19524203112085384,1026,random_spi1_rows,isotonic
1999-11-01,0.11846001974333663,0.10434147,0.167907539953722,1013,random_spi1_rows,isotonic
1999-12-01,0.8394683026584867,0.87763363,0.14229303402516438,978,random_spi1_rows,isotonic
2000-01-01,0.0,1.1471402e-06,0.18099466182576343,1010,random_spi1_rows,isotonic
2000-02-01,0.0,0.0,0.19317394731185364,942,random_spi1_rows,isotonic
2000-03-01,0.42057026476578413,0.44914818,0.18959800953265984,982,random_spi1_rows,isotonic
2000-04-01,0.0,0.00015014691,0.20948455894583157,1001,random_spi1_rows,isotonic
2000-05-01,0.005741626794258373,0.005558097,0.17964827989774862,1045,random_spi1_rows,isotonic
2000-06-01,0.0028625954198473282,0.0031590909,0.10655945256578907,1048,random_spi1_rows,isotonic
2000-07-01,0.003089598352214212,0.0009187585,0.009249053529496334,971,random_spi1_rows,isotonic
2000-08-01,0.0009532888465204957,0.00044431447,0.05130344984930175,1049,random_spi1_rows,isotonic
2000-09-01,0.004803073967339097,0.005108777,0.05656632088726794,1041,random_spi1_rows,isotonic
2000-10-01,0.0029910269192422734,0.00081369706,0.19524203112085384,1003,random_spi1_rows,isotonic
2000-11-01,0.648406374501992,0.65849125,0.167907539953722,1004,random_spi1_rows,isotonic
2000-12-01,0.2527881040892193,0.2897401,0.14229303402516438,1076,random_spi1_rows,isotonic
2001-01-01,0.0,0.00011146734,0.18099466182576343,1061,random_spi1_rows,isotonic
2001-02-01,0.021148036253776436,0.018433008,0.19317394731185364,993,random_spi1_rows,isotonic
2001-03-01,0.0,0.0011470733,0.18959800953265984,1012,random_spi1_rows,isotonic
2001-04-01,0.01727447216890595,0.010441118,0.20948455894583157,1042,random_spi1_rows,isotonic
