target_time,y_true_dry_frac,clim_prob_dry,lag_climate_raw_prob_dry,lag_climate_isotonic_prob_dry,lag_climate_platt_prob_dry,lag_climate_selected_prob_dry,lag_climate_persistence_prob_dry,soil_memory_raw_prob_dry,soil_memory_isotonic_prob_dry,soil_memory_platt_prob_dry,soil_memory_selected_prob_dry,soil_memory_persistence_prob_dry
2024-03-01,0.0,0.1637745817434693,0.24009433,0.18283924,0.23408072592829943,0.23408072592829943,0.5171705312591723,0.31787148,0.13506658,0.19415156028716968,0.13506658,0.5171705312591723
2024-04-01,0.0,0.18570422535211267,0.2665396,0.19678754,0.22269284065198502,0.22269284065198502,0.2567488262910798,0.3176458,0.14244707,0.1940635881926702,0.14244707,0.2567488262910798
2024-05-01,0.0,0.2029577464788732,0.19477324,0.00030408765,0.25460457235332323,0.25460457235332323,0.383362676056338,0.32928678,0.22992966,0.19889968283190126,0.22992966,0.383362676056338
2024-06-01,0.0,0.16487676056338027,0.18220225,0.0,0.26050786811924936,0.26050786811924936,0.2862382629107981,0.30570677,0.04994499,0.1891920869503657,0.04994499,0.2862382629107981
2024-07-01,0.0,0.18375586854460094,0.24404359,0.19566666,0.23233509703799862,0.23233509703799862,0.04606807511737089,0.31388626,0.15029037,0.19252535596967463,0.15029037,0.04606807511737089
2024-08-01,0.07262323943661972,0.1945070422535211,0.25649622,0.1956003,0.22691709166414872,0.22691709166414872,0.0011737089201877935,0.30817544,0.12050672,0.1901889241884142,0.12050672,0.0011737089201877935
2024-09-01,0.2709800469483568,0.17824530516431927,0.27916846,0.19899084,0.21798549334725809,0.21798549334725809,0.0,0.30866998,0.13330692,0.1903892741022747,0.13330692,0.0
2024-10-01,0.4061032863849765,0.14584507042253522,0.20655343,0.02585282,0.24918080585884758,0.24918080585884758,0.0,0.31785882,0.13540344,0.194145474880681,0.13540344,0.0
2024-11-01,0.07423708920187794,0.12301056338028168,0.24713399,0.19567332,0.2310030203010195,0.2310030203010195,0.0,0.31375676,0.13423367,0.19246394454069182,0.13423367,0.0
2024-12-01,0.04401408450704225,0.14687161430119178,0.24900892,0.19568877,0.23017631918051112,0.23017631918051112,0.0,0.32886913,0.2351891,0.19872047077216784,0.2351891,0.0
2025-01-01,0.30114470208394484,0.16949809216319342,0.27938804,0.1970805,0.21722237283429116,0.21722237283429116,0.0,0.3175186,0.13330692,0.1940053783255903,0.13330692,0.0
2025-02-01,0.2239506897563839,0.1422307014969181,0.2661002,0.1962265,0.22285515473312234,0.22285515473312234,0.0726445553272674,0.34189036,0.2351891,0.20423543624310908,0.2351891,0.0726445553272674
2025-03-01,0.17493395949515703,0.1637745817434693,0.36209065,0.20376097,0.1849975093576327,0.1849975093576327,0.2710595832110361,0.32671833,0.2351891,0.19782674669349112,0.2351891,0.2710595832110361
2025-04-01,0.18705985915492956,0.18570422535211267,0.38992032,0.20376097,0.17465286058782956,0.17465286058782956,0.4061032863849765,0.34222308,0.2351891,0.20437747422949273,0.2351891,0.4061032863849765
2025-05-01,0.30061619718309857,0.2029577464788732,0.38713652,0.20376097,0.1756003201110196,0.1756003201110196,0.07423708920187794,0.35584015,0.2351891,0.2102742123187962,0.2351891,0.07423708920187794
2025-06-01,0.2762617370892019,0.16487676056338027,0.2765941,0.19830506,0.2184402953122979,0.2184402953122979,0.04401408450704225,0.34353122,0.2351891,0.20493822756167854,0.2351891,0.04401408450704225
2025-07-01,0.018339201877934273,0.18375586854460094,0.29208574,0.20121123,0.211979373293647,0.211979373293647,0.3012030516431925,0.31193787,0.13431022,0.1917231291736736,0.13431022,0.3012030516431925
2025-08-01,0.153462441314554,0.1945070422535211,0.32270494,0.20368017,0.1998031810307502,0.1998031810307502,0.22403169014084506,0.3601237,0.2351891,0.2121469280226353,0.2351891,0.22403169014084506
2025-09-01,0.3653169014084507,0.17824530516431927,0.3423379,0.20376097,0.1922260078007019,0.1922260078007019,0.1750293427230047,0.32787737,0.2339634,0.19830974253254005,0.2339634,0.1750293427230047
2025-10-01,0.011296948356807512,0.14584507042253522,0.42191097,0.20376097,0.16364759117509062,0.16364759117509062,0.18705985915492956,0.33272752,0.2351891,0.2003516932151531,0.2351891,0.18705985915492956
2025-11-01,0.011296948356807512,0.12301056338028168,0.26480392,0.19622342,0.22341341979237478,0.22341341979237478,0.30061619718309857,0.31303123,0.06502525,0.1922243834564886,0.06502525,0.30061619718309857
2025-12-01,0.0,0.14687161430119178,0.24755557,0.1920735,0.23087676777860996,0.23087676777860996,0.2762617370892019,0.3082928,0.03231303,0.19024033417455483,0.03231303,0.2762617370892019
2026-01-01,0.005283240387437629,0.16949809216319342,0.2819091,0.19783637,0.21616762808171627,0.21616762808171627,0.018344584678602876,0.31297594,0.13330692,0.19214240983784897,0.13330692,0.018344584678602876
2026-02-01,0.011006750807161726,0.1422307014969181,0.30527553,0.20230831,0.20682382765260562,0.20682382765260562,0.15350748459054886,0.33738875,0.2351891,0.20232918271714032,0.2351891,0.15350748459054886
